plant_type,infection_short_name,infection_full_name,severity_level,visible_symptoms,treatment_description,biological_control,chemical_control,prevention_steps
Cucumber,Root Rot,Root Rot (Pythium / Phytophthora / Rhizoctonia complex),Medium,Root tips decayed; foliage chlorotic; uneven stand vigor,On Cucumber: Improve drainage; reduce irrigation; drench with labeled oomycete product,Compost-based biologicals in clean media mixes,Labeled mefenoxam / propamocarb / etridiazole products as permitted,Calibrate irrigation; sanitize trays between cycles
Lettuce,Root Rot,Root Rot (Pythium / Phytophthora / Rhizoctonia complex),High,Crown discoloration; lettuce plants collapse in poorly drained zones,On Lettuce: Remove severely affected plants; sanitize media and emitters,Mycorrhizae / beneficial microbe drenches for suppression,Spot-drench only after confirming pathogen class,Keep root zone oxygenated and within crop-optimal moisture
Pepper,Root Rot,Root Rot (Pythium / Phytophthora / Rhizoctonia complex),Low,Wilting despite moist media; brown soft roots; stunted growth,On Pepper: Correct overwatering and apply biological root protectant,Mycorrhizae / beneficial microbe drenches for suppression,Labeled mefenoxam / propamocarb / etridiazole products as permitted,Use sterile media; avoid standing water under benches
Potato,Root Rot,Root Rot (Pythium / Phytophthora / Rhizoctonia complex),High,Wilting despite moist media; brown soft roots; stunted growth,On Potato: Remove severely affected plants; sanitize media and emitters,Trichoderma harzianum and Bacillus root-zone inoculants,Rotate oomycete chemistries; do not rely on a single FRAC group,Keep root zone oxygenated and within crop-optimal moisture
Strawberry,Root Rot,Root Rot (Pythium / Phytophthora / Rhizoctonia complex),High,Root tips decayed; foliage chlorotic; uneven stand vigor,On Strawberry: Correct overwatering and apply biological root protectant,Mycorrhizae / beneficial microbe drenches for suppression,Spot-drench only after confirming pathogen class,Calibrate irrigation; sanitize trays between cycles
Tomato,Root Rot,Root Rot (Pythium / Phytophthora / Rhizoctonia complex),Low,Crown discoloration; tomato plants collapse in poorly drained zones,On Tomato: Improve drainage; reduce irrigation; drench with labeled oomycete product,Compost-based biologicals in clean media mixes,Labeled mefenoxam / propamocarb / etridiazole products as permitted,Keep root zone oxygenated and within crop-optimal moisture
Lettuce,Soft Rot,Bacterial Soft Rot (Pectobacterium / Dickeya spp.),High,Mushy petiole/stem rot after wounding in wet conditions,On Lettuce: Sanitize harvest knives and cool product promptly,No strong curative biological for soft rot,Focus on hygiene chemistry rather than plant sprays,Avoid wounds; keep foliage and harvest zones dry
Pepper,Soft Rot,Bacterial Soft Rot (Pectobacterium / Dickeya spp.),Medium,Watery foul-smelling soft tissue collapse on stems or stored organs,On Pepper: Sanitize harvest knives and cool product promptly,Limited; rely on sanitation and dry handling,Disinfectants on tools/surfaces; copper of limited value on soft rot,Do not over-irrigate near harvest
Potato,Soft Rot,Bacterial Soft Rot (Pectobacterium / Dickeya spp.),High,Watery foul-smelling soft tissue collapse on stems or stored organs,On Potato: Reduce free water; discard severely infected heads/tubers,No strong curative biological for soft rot,Follow postharvest sanitation protocols,Clean crates and cool quickly after picking
Tomato,Soft Rot,Bacterial Soft Rot (Pectobacterium / Dickeya spp.),Critical,Rapid liquefaction of infected tissue under high moisture,On Tomato: Sanitize harvest knives and cool product promptly,No strong curative biological for soft rot,Disinfectants on tools/surfaces; copper of limited value on soft rot,Clean crates and cool quickly after picking
Pepper,Tomato Yellow Leaf Curl,Tomato Yellow Leaf Curl Virus (TYLCV),Critical,"Upward leaf curling, yellowing margins, severe stunting",On Pepper: Install/repair insect screens; remove symptomatic tomatoes promptly,Mirid predators as part of IPM whitefly programs,Rotate labeled whitefly insecticides carefully to protect beneficials,Resistant cultivars; sealed greenhouse openings
Tomato,Tomato Yellow Leaf Curl,Tomato Yellow Leaf Curl Virus (TYLCV),Critical,Bushy stunted tomato plants after whitefly outbreaks,On Tomato: Reset hygiene and vector monitoring traps,Banker-plant strategies where established,Use oils/soaps where compatible; avoid resistance buildup,Resistant cultivars; sealed greenhouse openings
Cucumber,Anthracnose,Anthracnose (Colletotrichum spp.),Critical,Blackened necrotic lesions on ripe fruit under warm humidity,On Cucumber: Reduce fruit wetness and begin protective sprays on ripening crop,Bacillus foliar programs during fruiting,Rotate QoI / SDHI / multi-site fungicides labeled for anthracnose,Avoid wounding fruit; keep ripening zone dry
Pepper,Anthracnose,Anthracnose (Colletotrichum spp.),Medium,Dark leaf and stem spots; fruit rot near harvest,On Pepper: Sanitize harvest tools and cull symptomatic berries/fruit,Bacillus foliar programs during fruiting,Follow PHI closely near harvest,Avoid wounding fruit; keep ripening zone dry
Strawberry,Anthracnose,Anthracnose (Colletotrichum spp.),Low,Blackened necrotic lesions on ripe fruit under warm humidity,On Strawberry: Sanitize harvest tools and cull symptomatic berries/fruit,Biological protectants on flowers and young fruit,Follow PHI closely near harvest,Use drip irrigation and adequate plant spacing
Tomato,Anthracnose,Anthracnose (Colletotrichum spp.),Medium,Blackened necrotic lesions on ripe fruit under warm humidity,On Tomato: Harvest carefully; remove infected fruit; apply labeled anthracnose fungicide,Cultural sanitation plus soft biologicals,Protect ripening fruit ahead of humid spells,Use drip irrigation and adequate plant spacing
Pepper,Bacterial Canker,Bacterial Canker (Clavibacter michiganensis),High,"Wilting leaflets, bird's-eye fruit spots, stem cankers",On Pepper: Restrict pruning during wet periods; disinfect knives constantly,Limited options; beneficials support plant resilience only,Copper sprays have limited suppression on foliage only,Scout for bird's-eye fruit spots early
Tomato,Bacterial Canker,Bacterial Canker (Clavibacter michiganensis),Medium,Unilateral leaflet necrosis and open stem lesions,On Tomato: Restrict pruning during wet periods; disinfect knives constantly,Sanitation-first approach with optional soft biologicals,Emphasize disinfectant protocols for structures and tools,Strict tool hygiene; avoid plant-to-plant sap transfer
Cucumber,Bacterial Leaf Spot,Bacterial Leaf Spot (Xanthomonas / Pseudomonas spp.),High,Small dark foliar spots spreading after splash irrigation,On Cucumber: Improve drying time and begin copper + biological rotation,Phyllosphere beneficial sprays preventively,Avoid phytotoxic overuse; follow greenhouse crop labels,Disease-free seed/transplants; minimize splash
Lettuce,Bacterial Leaf Spot,Bacterial Leaf Spot (Xanthomonas / Pseudomonas spp.),Critical,Greasy angular lesions; fruit scabbing on tomato/pepper,On Lettuce: Sanitize benches and reduce humidity spikes after irrigation,Copper-alternative biologicals labeled for bacterial diseases,Rotate with biologicals to reduce copper load,Disinfect tools between plants; keep walkways dry
Pepper,Bacterial Leaf Spot,Bacterial Leaf Spot (Xanthomonas / Pseudomonas spp.),High,Small dark foliar spots spreading after splash irrigation,On Pepper: Improve drying time and begin copper + biological rotation,Phyllosphere beneficial sprays preventively,Fixed-copper bactericides on a preventive humid-weather schedule,Disease-free seed/transplants; minimize splash
Strawberry,Bacterial Leaf Spot,Bacterial Leaf Spot (Xanthomonas / Pseudomonas spp.),Medium,Small dark foliar spots spreading after splash irrigation,On Strawberry: Stop working wet plants; remove infected leaves; apply labeled copper program,Phyllosphere beneficial sprays preventively,Fixed-copper bactericides on a preventive humid-weather schedule,Disinfect tools between plants; keep walkways dry
Tomato,Bacterial Leaf Spot,Bacterial Leaf Spot (Xanthomonas / Pseudomonas spp.),Critical,Greasy angular lesions; fruit scabbing on tomato/pepper,On Tomato: Improve drying time and begin copper + biological rotation,Copper-alternative biologicals labeled for bacterial diseases,Fixed-copper bactericides on a preventive humid-weather schedule,Avoid dense wet canopies overnight
Pepper,Bacterial Wilt,Bacterial Wilt (Ralstonia solanacearum),Critical,Sudden irreversible wilt; milky bacterial ooze from cut stems,On Pepper: Reduce soil moisture extremes and eliminate adjacent hosts,Antagonistic Bacillus soil treatments as suppressants,Follow regional quarantine and disposal guidance,Scout for early wilt and remove promptly
Potato,Bacterial Wilt,Bacterial Wilt (Ralstonia solanacearum),High,Vascular browning with sticky bacterial stream from stem sections,On Potato: Reduce soil moisture extremes and eliminate adjacent hosts,Biological soil health programs to reduce pathogen fitness,Focus on sanitation chemistry for tools and surfaces,Sanitize irrigation and worker pathways
Tomato,Bacterial Wilt,Bacterial Wilt (Ralstonia solanacearum),Critical,Rapid plant collapse without major leaf spotting,On Tomato: Reduce soil moisture extremes and eliminate adjacent hosts,Biological soil health programs to reduce pathogen fitness,Follow regional quarantine and disposal guidance,Sanitize irrigation and worker pathways
Pepper,Blossom End Rot,Blossom End Rot (calcium translocation disorder),Low,Sunken dark leathery patches on fruit blossom end,On Pepper: Remove affected fruit and normalize root-zone moisture,Not a pathogen — biologicals are supportive only,Foliar/fruit calcium sprays as a temporary aid if labeled,Avoid excess ammonium nitrogen during fruiting
Strawberry,Blossom End Rot,Blossom End Rot (calcium translocation disorder),Low,Sunken dark leathery patches on fruit blossom end,On Strawberry: Remove affected fruit and normalize root-zone moisture,Root-health biologicals to improve Ca uptake consistency,Check EC so salts do not block calcium uptake,Maintain stable daytime VPD
Tomato,Blossom End Rot,Blossom End Rot (calcium translocation disorder),Low,Distal fruit necrosis despite adequate soil calcium,On Tomato: Remove affected fruit and normalize root-zone moisture,Root-health biologicals to improve Ca uptake consistency,Check EC so salts do not block calcium uptake,Maintain stable daytime VPD
Cucumber,Cucumber Mosaic,Cucumber Mosaic Virus (CMV),Medium,Stunting with distorted younger leaves,On Cucumber: No curative spray — focus on vector and rogueing,Banker plants for sustained aphid biocontrol,Tool/surface disinfection between plants,Reflective mulches/screens; aphid monitoring
Lettuce,Cucumber Mosaic,Cucumber Mosaic Virus (CMV),High,Chlorotic mosaic and reduced marketable yield,On Lettuce: No curative spray — focus on vector and rogueing,Banker plants for sustained aphid biocontrol,No viricide available for CMV,Worker hygiene between bays
Pepper,Cucumber Mosaic,Cucumber Mosaic Virus (CMV),Medium,"Severe mosaic, leaf shoestringing, and fruit mottling",On Pepper: No curative spray — focus on vector and rogueing,Supportive plant-health biologicals only,No viricide available for CMV,Virus-free seedlings; remove weed reservoirs
Tomato,Cucumber Mosaic,Cucumber Mosaic Virus (CMV),Critical,Stunting with distorted younger leaves,On Tomato: Remove infected plants; suppress aphid vectors immediately,"Aphid parasitoids (Aphidius) and predators (lacewings, ladybirds)",Aphid management products if thresholds exceeded,Reflective mulches/screens; aphid monitoring
Cucumber,Downy Mildew,Downy Mildew (Pseudoperonospora / Peronospora spp.),Low,Angular yellow lesions above; gray-purple sporulation beneath leaves,On Cucumber: Quarantine affected rows and tighten dehumidification cycles,Cultural drying + soft biologicals at first symptoms,Use labeled downy mildew fungicides with strict FRAC rotation,Irrigate mornings only; sanitize after outbreaks
Lettuce,Downy Mildew,Downy Mildew (Pseudoperonospora / Peronospora spp.),Critical,Oil-spot appearance on upper leaf surface with fuzzy underside growth,On Lettuce: Dry canopy urgently; remove infected leaves; apply labeled downy mildew product,Cultural drying + soft biologicals at first symptoms,Protectants ahead of cool humid nights,Irrigate mornings only; sanitize after outbreaks
Strawberry,Downy Mildew,Downy Mildew (Pseudoperonospora / Peronospora spp.),High,Angular yellow lesions above; gray-purple sporulation beneath leaves,On Strawberry: Increase night ventilation and start protectant/systemic rotation,Phosphite-compatible biological programs where labeled,Protectants ahead of cool humid nights,Irrigate mornings only; sanitize after outbreaks
Tomato,Downy Mildew,Downy Mildew (Pseudoperonospora / Peronospora spp.),Medium,Oil-spot appearance on upper leaf surface with fuzzy underside growth,On Tomato: Dry canopy urgently; remove infected leaves; apply labeled downy mildew product,Cultural drying + soft biologicals at first symptoms,Protectants ahead of cool humid nights,Irrigate mornings only; sanitize after outbreaks
Pepper,Early Blight,Early Blight (Alternaria solani),Critical,Lower-canopy leaf spots expanding upward under warm humid conditions,On Pepper: Sanitate fallen debris and treat remaining canopy preventively,Trichoderma soil/foliar programs to suppress Alternaria pressure,Apply protectants before extended humid periods,Avoid prolonged leaf wetness; balance fertility
Potato,Early Blight,Early Blight (Alternaria solani),Medium,Brown lesions with concentric rings on foliage; stem collar lesions possible,On Potato: Remove lower infected leaves; apply labeled Alternaria fungicide rotation,Bacillus-based biofungicides and compost teas where permitted,Apply protectants before extended humid periods,Start with disease-free transplants and sanitize benches
Tomato,Early Blight,Early Blight (Alternaria solani),High,Target-spot concentric rings on older leaves; yellowing and defoliation,On Tomato: Sanitate fallen debris and treat remaining canopy preventively,Bacillus-based biofungicides and compost teas where permitted,Use FRAC-diverse programs; avoid consecutive same-mode sprays,Avoid prolonged leaf wetness; balance fertility
Cucumber,Edema,Physiological Leaf Edema (environmental water imbalance),Low,Corky blisters on leaf undersides from excess root pressure,On Cucumber: Reduce night irrigation; increase airflow; balance root vs leaf moisture,Maintain healthy roots to stabilize water uptake,No pesticide indicated,Prevent high RH with low transpiration nights
Lettuce,Edema,Physiological Leaf Edema (environmental water imbalance),Low,Raised watery bumps mistaken for pest damage,On Lettuce: Reduce night irrigation; increase airflow; balance root vs leaf moisture,Not pathogen-driven; no biocontrol required,Focus on climate and irrigation corrections,Match irrigation to light/transpiration
Pepper,Edema,Physiological Leaf Edema (environmental water imbalance),Low,Leaf undersurface callusing after humid cool nights,On Pepper: Raise night temperature slightly and improve dehumidification,Not pathogen-driven; no biocontrol required,Do not treat as fungal leaf spot,Train staff to distinguish edema from infection
Tomato,Edema,Physiological Leaf Edema (environmental water imbalance),High,Raised watery bumps mistaken for pest damage,On Tomato: Avoid overwatering on cool cloudy days,Pause unnecessary foliar biological sprays until resolved,Focus on climate and irrigation corrections,Train staff to distinguish edema from infection
Cucumber,Fusarium Wilt,Fusarium Wilt (Fusarium oxysporum),Medium,One-sided wilting; vascular browning in stem cross-section,On Cucumber: Remove wilted plants with roots; avoid moving infested soil,Compost-based suppressiveness programs,Soil treatments only where labels and regulations allow,Resistant cultivars/rootstocks; clean media and trays
Lettuce,Fusarium Wilt,Fusarium Wilt (Fusarium oxysporum),Medium,Lower leaves yellow then wilt permanently despite moist soil,On Lettuce: Remove wilted plants with roots; avoid moving infested soil,Trichoderma and non-pathogenic Fusarium biocontrol strains,Limited curative options; focus on sanitation and resistant varieties,Resistant cultivars/rootstocks; clean media and trays
Pepper,Fusarium Wilt,Fusarium Wilt (Fusarium oxysporum),Low,One-sided wilting; vascular browning in stem cross-section,On Pepper: Switch to resistant rootstock/cultivar; sanitize affected beds,Trichoderma and non-pathogenic Fusarium biocontrol strains,Soil treatments only where labels and regulations allow,Resistant cultivars/rootstocks; clean media and trays
Potato,Fusarium Wilt,Fusarium Wilt (Fusarium oxysporum),Critical,Lower leaves yellow then wilt permanently despite moist soil,On Potato: Switch to resistant rootstock/cultivar; sanitize affected beds,Compost-based suppressiveness programs,Soil treatments only where labels and regulations allow,Resistant cultivars/rootstocks; clean media and trays
Strawberry,Fusarium Wilt,Fusarium Wilt (Fusarium oxysporum),High,One-sided wilting; vascular browning in stem cross-section,On Strawberry: Reduce plant stress and apply biological soil suppressants,Trichoderma and non-pathogenic Fusarium biocontrol strains,Disinfect tools and irrigation lines thoroughly,Resistant cultivars/rootstocks; clean media and trays
Tomato,Fusarium Wilt,Fusarium Wilt (Fusarium oxysporum),Medium,Lower leaves yellow then wilt permanently despite moist soil,On Tomato: Switch to resistant rootstock/cultivar; sanitize affected beds,Compost-based suppressiveness programs,Soil treatments only where labels and regulations allow,Quarantine new transplants until scouted
Cucumber,Gray Mold,Gray Mold / Botrytis Blight (Botrytis cinerea),Low,"Gray fuzzy sporulation on flowers, fruit, and wounded tissue",On Cucumber: Reduce RH spikes; spot-treat with labeled Botrytis fungicide/biofungicide,Biologicals rotated to reduce chemical reliance,Use protectant + specific Botrytis actives under high pressure,Avoid dense canopies and overnight free moisture
Lettuce,Gray Mold,Gray Mold / Botrytis Blight (Botrytis cinerea),Medium,Necrotic lesions on petals and stems under high humidity,On Lettuce: Reduce RH spikes; spot-treat with labeled Botrytis fungicide/biofungicide,Antagonist sprays on senescent tissue hotspots,Target flower and fruit zones; respect resistance guidelines,Avoid dense canopies and overnight free moisture
Pepper,Gray Mold,Gray Mold / Botrytis Blight (Botrytis cinerea),High,Soft blossom blight and fruit rot with ash-gray mycelium,On Pepper: Reduce RH spikes; spot-treat with labeled Botrytis fungicide/biofungicide,Trichoderma and Bacillus biofungicides preventively on flowers,Target flower and fruit zones; respect resistance guidelines,Harvest promptly; remove aborted fruit and petals daily
Potato,Gray Mold,Gray Mold / Botrytis Blight (Botrytis cinerea),High,"Gray fuzzy sporulation on flowers, fruit, and wounded tissue",On Potato: Remove dead flowers and infected fruit; increase ventilation immediately,Antagonist sprays on senescent tissue hotspots,Rotate FRAC-coded greenhouse Botrytis fungicides carefully,Avoid dense canopies and overnight free moisture
Strawberry,Gray Mold,Gray Mold / Botrytis Blight (Botrytis cinerea),Medium,Soft blossom blight and fruit rot with ash-gray mycelium,On Strawberry: Reduce RH spikes; spot-treat with labeled Botrytis fungicide/biofungicide,Trichoderma and Bacillus biofungicides preventively on flowers,Rotate FRAC-coded greenhouse Botrytis fungicides carefully,Avoid dense canopies and overnight free moisture
Tomato,Gray Mold,Gray Mold / Botrytis Blight (Botrytis cinerea),Medium,Necrotic lesions on petals and stems under high humidity,On Tomato: Remove dead flowers and infected fruit; increase ventilation immediately,Biologicals rotated to reduce chemical reliance,Target flower and fruit zones; respect resistance guidelines,Avoid dense canopies and overnight free moisture
Cucumber,Heat Stress,Environmental Heat / VPD Stress Disorder,Low,Wilting at peak day heat with recovery at night,On Cucumber: Run fog/pad cooling if available; avoid midday heavy sprays,Supportive biostimulants only if labeled for stress mitigation,No fungicide required; avoid phytotoxic sprays in heat,Maintain root moisture without waterlogging
Lettuce,Heat Stress,Environmental Heat / VPD Stress Disorder,High,"Leaf cupping, blossom drop, and sunscald under high temperature",On Lettuce: Run fog/pad cooling if available; avoid midday heavy sprays,Keep biological spray programs off peak heat hours,Anti-stress foliar nutrients only when label-safe,Maintain root moisture without waterlogging
Pepper,Heat Stress,Environmental Heat / VPD Stress Disorder,High,Wilting at peak day heat with recovery at night,On Pepper: Run fog/pad cooling if available; avoid midday heavy sprays,Keep biological spray programs off peak heat hours,Do not apply oils/sulfur under high temperature,Monitor canopy temperature; stage harvests for cooler hours
Potato,Heat Stress,Environmental Heat / VPD Stress Disorder,Low,Bleached fruit shoulders and stalled growth,On Potato: Run fog/pad cooling if available; avoid midday heavy sprays,No pathogen biological needed; maintain root-zone microbial health,No fungicide required; avoid phytotoxic sprays in heat,Monitor canopy temperature; stage harvests for cooler hours
Strawberry,Heat Stress,Environmental Heat / VPD Stress Disorder,Low,Bleached fruit shoulders and stalled growth,On Strawberry: Increase shading/ventilation; lower daytime setpoints; pulse irrigation,Supportive biostimulants only if labeled for stress mitigation,Anti-stress foliar nutrients only when label-safe,Monitor canopy temperature; stage harvests for cooler hours
Tomato,Heat Stress,Environmental Heat / VPD Stress Disorder,Medium,Wilting at peak day heat with recovery at night,On Tomato: Run fog/pad cooling if available; avoid midday heavy sprays,Supportive biostimulants only if labeled for stress mitigation,Do not apply oils/sulfur under high temperature,Shade cloth schedules; adequate air exchange
Potato,Late Blight,Late Blight (Phytophthora infestans),Critical,Rapid foliar collapse; greasy stem lesions; fruit/tuber rot in humid weather,On Potato: Destroy infected debris immediately; tighten spray schedule; dry the canopy,Copper-alternative biofungicides labeled for Phytophthora where available,Follow local PHI and resistance-management rules strictly,Keep canopy dry; run fans after irrigation; avoid dense plantings
Tomato,Late Blight,Late Blight (Phytophthora infestans),Low,"Dark necrotic blotches expanding quickly under cool, wet greenhouse conditions","On Tomato: Cull symptomatic plants, sanitize zones, and apply protectant + systemic rotation",Support plant vigor; avoid excess nitrogen that softens tissue,"Protectants (e.g., chlorothalonil/mancozeb-class where legal) on a tight interval",Monitor cool wet forecasts; remove infected material from the house
Cucumber,Leaf Spot,Fungal Leaf Spot (Septoria / Cercospora / Alternaria spp.),Medium,Speckled foliage; lower leaves yellow and drop prematurely,On Cucumber: Remove spotted leaves; apply labeled protectant fungicide,Bacillus subtilis foliar biofungicides,Apply before forecast high-humidity periods,Space plants for rapid drying; scout weekly
Lettuce,Leaf Spot,Fungal Leaf Spot (Septoria / Cercospora / Alternaria spp.),Medium,Numerous leaf lesions coalescing into blighted areas,On Lettuce: Sanitize debris and avoid wetting foliage during irrigation,Bacillus subtilis foliar biofungicides,Rotate multi-site and single-site actives carefully,Space plants for rapid drying; scout weekly
Pepper,Leaf Spot,Fungal Leaf Spot (Septoria / Cercospora / Alternaria spp.),Medium,Speckled foliage; lower leaves yellow and drop prematurely,On Pepper: Remove spotted leaves; apply labeled protectant fungicide,Copper-alternative biologicals on a preventive schedule,Rotate multi-site and single-site actives carefully,Start clean and avoid working wet plants
Potato,Leaf Spot,Fungal Leaf Spot (Septoria / Cercospora / Alternaria spp.),High,Small circular spots with dark borders and chlorotic halos,On Potato: Increase airflow and begin a preventive leaf-spot spray rotation,Copper-alternative biologicals on a preventive schedule,Rotate multi-site and single-site actives carefully,Drip irrigation only; remove lower canopy debris
Strawberry,Leaf Spot,Fungal Leaf Spot (Septoria / Cercospora / Alternaria spp.),Medium,Small circular spots with dark borders and chlorotic halos,On Strawberry: Increase airflow and begin a preventive leaf-spot spray rotation,Copper-alternative biologicals on a preventive schedule,Apply before forecast high-humidity periods,Space plants for rapid drying; scout weekly
Tomato,Leaf Spot,Fungal Leaf Spot (Septoria / Cercospora / Alternaria spp.),Critical,Speckled foliage; lower leaves yellow and drop prematurely,On Tomato: Increase airflow and begin a preventive leaf-spot spray rotation,Bacillus subtilis foliar biofungicides,Copper or protectant fungicides labeled for the crop,Drip irrigation only; remove lower canopy debris
Cucumber,Mosaic Virus,Mosaic Virus Complex (TMV / CMV / PepMV-related symptoms),Medium,Mottled light/dark green mosaic on leaves; leaf distortion,On Cucumber: Quarantine new plants; replace severely affected blocks,Predator/parasitoid programs to lower aphid/thrips pressure,Avoid tobacco products near tomato operations (TMV risk),Do not touch healthy plants after handling symptomatic ones
Lettuce,Mosaic Virus,Mosaic Virus Complex (TMV / CMV / PepMV-related symptoms),Medium,Chlorotic mosaic patterns and uneven fruit color/quality,On Lettuce: No curative spray — rogue symptomatic plants and reset hygiene,Plant health biologicals only as supportive measures,Disinfect tools with appropriate virucidal sanitizers,Do not touch healthy plants after handling symptomatic ones
Pepper,Mosaic Virus,Mosaic Virus Complex (TMV / CMV / PepMV-related symptoms),High,Mottled light/dark green mosaic on leaves; leaf distortion,On Pepper: No curative spray — rogue symptomatic plants and reset hygiene,Plant health biologicals only as supportive measures,Avoid tobacco products near tomato operations (TMV risk),Do not touch healthy plants after handling symptomatic ones
Potato,Mosaic Virus,Mosaic Virus Complex (TMV / CMV / PepMV-related symptoms),High,Stunted growth with blistered or fern-leaf foliage,On Potato: No curative spray — rogue symptomatic plants and reset hygiene,Plant health biologicals only as supportive measures,Disinfect tools with appropriate virucidal sanitizers,Virus-free transplants; insect screens; worker hygiene
Strawberry,Mosaic Virus,Mosaic Virus Complex (TMV / CMV / PepMV-related symptoms),High,Mottled light/dark green mosaic on leaves; leaf distortion,On Strawberry: Remove infected plants; control insect vectors; sanitize hands/tools,Plant health biologicals only as supportive measures,Avoid tobacco products near tomato operations (TMV risk),Control aphids/thrips; remove weed hosts
Tomato,Mosaic Virus,Mosaic Virus Complex (TMV / CMV / PepMV-related symptoms),Critical,Chlorotic mosaic patterns and uneven fruit color/quality,On Tomato: No curative spray — rogue symptomatic plants and reset hygiene,Plant health biologicals only as supportive measures,Avoid tobacco products near tomato operations (TMV risk),Control aphids/thrips; remove weed hosts
Cucumber,Nutrient Deficiency,Environmental Nutrient Disorder (N / K / Ca / Mg imbalance),High,Interveinal chlorosis or marginal leaf burn without pathogen signs,On Cucumber: Correct fertigation recipe; verify EC/pH; apply targeted nutrient correction,"Compost teas only as supplements, not replacements for minerals",Avoid excess single-salt dumping that causes antagonism,Match recipe to crop (Tomato vs Lettuce differ strongly)
Lettuce,Nutrient Deficiency,Environmental Nutrient Disorder (N / K / Ca / Mg imbalance),Low,Interveinal chlorosis or marginal leaf burn without pathogen signs,On Lettuce: Recalibrate dosing pumps and monitor leaf tissue response,Mycorrhizae in soil/soilless systems where compatible,Not a pathogen — use soluble fertilizers / chelates as labeled,Match recipe to crop (Tomato vs Lettuce differ strongly)
Pepper,Nutrient Deficiency,Environmental Nutrient Disorder (N / K / Ca / Mg imbalance),High,Interveinal chlorosis or marginal leaf burn without pathogen signs,On Pepper: Recalibrate dosing pumps and monitor leaf tissue response,Beneficial root microbes to improve nutrient uptake efficiency,Not a pathogen — use soluble fertilizers / chelates as labeled,Calibrate injectors weekly; tissue-test when symptoms appear
Potato,Nutrient Deficiency,Environmental Nutrient Disorder (N / K / Ca / Mg imbalance),Medium,Uniform yellowing or purpling linked to fertigation error,On Potato: Recalibrate dosing pumps and monitor leaf tissue response,Beneficial root microbes to improve nutrient uptake efficiency,Not a pathogen — use soluble fertilizers / chelates as labeled,Routine EC/pH logging; staged nutrition by crop phase
Strawberry,Nutrient Deficiency,Environmental Nutrient Disorder (N / K / Ca / Mg imbalance),Medium,"Tip burn, blossom-end issues, or pale older leaves from imbalance",On Strawberry: Recalibrate dosing pumps and monitor leaf tissue response,"Compost teas only as supplements, not replacements for minerals",Avoid excess single-salt dumping that causes antagonism,Calibrate injectors weekly; tissue-test when symptoms appear
Tomato,Nutrient Deficiency,Environmental Nutrient Disorder (N / K / Ca / Mg imbalance),Medium,Uniform yellowing or purpling linked to fertigation error,On Tomato: Correct fertigation recipe; verify EC/pH; apply targeted nutrient correction,Mycorrhizae in soil/soilless systems where compatible,Avoid excess single-salt dumping that causes antagonism,Routine EC/pH logging; staged nutrition by crop phase
Cucumber,Powdery Mildew,Powdery Mildew (Oidium / Podosphaera spp.),Medium,Flour-like fungal coating on foliage and young stems; reduced vigor,"On Cucumber: Isolate dense canopies, reduce leaf wetness, and start a preventive mildew program",Potassium bicarbonate / horticultural oil rotation (label-compliant),Use labeled strobilurin fungicides only under high pressure; avoid overuse,Keep canopy thin and ventilate after irrigation or fog events
Lettuce,Powdery Mildew,Powdery Mildew (Oidium / Podosphaera spp.),Critical,Sparse white mycelium on leaves progressing to chlorosis and defoliation,"On Lettuce: Isolate dense canopies, reduce leaf wetness, and start a preventive mildew program",Potassium bicarbonate / horticultural oil rotation (label-compliant),Apply potassium bicarbonate or wettable sulfur early; never mix oil + sulfur,Avoid overhead irrigation; scout weekly for first mildew colonies
Pepper,Powdery Mildew,Powdery Mildew (Oidium / Podosphaera spp.),Critical,White powdery patches on upper leaf surfaces; leaves yellow and curl,On Pepper: Remove heavily infected tissue and spray labeled mildew protectant during cool hours,Trichoderma-based protectants on foliage where crop label allows,Rotate sulfur or myclobutanil-group products by FRAC code; observe PHI,Keep canopy thin and ventilate after irrigation or fog events
Potato,Powdery Mildew,Powdery Mildew (Oidium / Podosphaera spp.),Medium,Flour-like fungal coating on foliage and young stems; reduced vigor,On Potato: Remove heavily infected tissue and spray labeled mildew protectant during cool hours,Potassium bicarbonate / horticultural oil rotation (label-compliant),Use labeled strobilurin fungicides only under high pressure; avoid overuse,Avoid overhead irrigation; scout weekly for first mildew colonies
Strawberry,Powdery Mildew,Powdery Mildew (Oidium / Podosphaera spp.),Critical,Sparse white mycelium on leaves progressing to chlorosis and defoliation,"On Strawberry: Isolate dense canopies, reduce leaf wetness, and start a preventive mildew program",Trichoderma-based protectants on foliage where crop label allows,Use labeled strobilurin fungicides only under high pressure; avoid overuse,Keep canopy thin and ventilate after irrigation or fog events
Tomato,Powdery Mildew,Powdery Mildew (Oidium / Podosphaera spp.),High,Flour-like fungal coating on foliage and young stems; reduced vigor,On Tomato: Remove heavily infected tissue and spray labeled mildew protectant during cool hours,Bacillus subtilis or Bacillus amyloliquefaciens foliar sprays,Use labeled strobilurin fungicides only under high pressure; avoid overuse,Keep canopy thin and ventilate after irrigation or fog events
